City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
19,Adrar,20.5022,-10.0711,67.69,24,100,9.46,MR,2022-04-23 06:40:18,overcast clouds
20,Kaitangata,-46.2817,169.8464,57.11,66,100,13.09,NZ,2022-04-23 06:40:18,light rain
21,Zyryanka,65.75,150.85,26.53,78,100,3.83,RU,2022-04-23 06:40:18,overcast clouds
22,Provideniya,64.3833,-173.3,27.01,77,14,2.8,RU,2022-04-23 06:40:19,few clouds
23,Novo Oriente,-5.5344,-40.7742,68.77,98,68,2.1,BR,2022-04-23 06:40:19,broken clouds
24,Fujin,47.26,132.0322,63.18,21,100,16.91,CN,2022-04-23 06:40:20,overcast clouds
25,Bac Lieu,9.285,105.7244,88.99,60,22,13.22,VN,2022-04-23 06:40:20,few clouds
26,Klyuchevskiy,53.5317,119.4519,41.16,22,100,6.2,RU,2022-04-23 06:40:20,overcast clouds
27,Katsuura,35.1333,140.3,70.75,70,98,11.95,JP,2022-04-23 06:40:21,overcast clouds
28,Bengkulu,-3.8004,102.2655,85.24,73,58,11.07,ID,2022-04-23 06:40:21,broken clouds
29,Busselton,-33.65,115.3333,74.75,35,0,3.31,AU,2022-04-23 06:40:22,clear sky
30,Coihaique,-45.5752,-72.0662,39.81,93,100,4.61,CL,2022-04-23 06:40:22,moderate rain
31,Barrow,71.2906,-156.7887,17.62,79,100,8.05,US,2022-04-23 06:40:22,overcast clouds
32,Portland,45.5234,-122.6762,50.09,86,31,1.32,US,2022-04-23 06:39:24,scattered clouds
33,Gasa,31.5,34.4667,68.05,68,1,7.38,PS,2022-04-23 06:40:23,clear sky
34,Ushuaia,-54.8,-68.3,42.46,75,75,2.3,AR,2022-04-23 06:40:23,broken clouds
35,Sauteurs,12.2167,-61.6333,77.59,71,99,14.05,GD,2022-04-23 06:40:24,overcast clouds
36,Atasu,48.6814,71.6433,57.02,28,79,8.41,KZ,2022-04-23 06:40:24,broken clouds
37,Punta Arenas,-53.15,-70.9167,44.71,87,75,10.36,CL,2022-04-23 06:38:01,broken clouds
38,Mar Del Plata,-38.0023,-57.5575,50.88,76,0,6.91,AR,2022-04-23 06:40:25,clear sky
39,Luderitz,-26.6481,15.1594,60.17,73,0,20.29,NA,2022-04-23 06:40:25,clear sky
40,Samarai,-10.6167,150.6667,83.73,75,85,11.21,PG,2022-04-23 06:40:26,overcast clouds
41,Cockburn Town,21.4612,-71.1419,76.46,76,100,19.51,TC,2022-04-23 06:40:26,overcast clouds
42,Tasiilaq,65.6145,-37.6368,32.16,92,100,4.0,GL,2022-04-23 06:40:26,overcast clouds
43,Hasaki,35.7333,140.8333,75.6,71,82,9.84,JP,2022-04-23 06:40:27,broken clouds
44,Ostrovnoy,68.0531,39.5131,29.05,80,97,7.0,RU,2022-04-23 06:40:27,overcast clouds
45,Yulara,-25.2406,130.9889,78.64,24,100,14.97,AU,2022-04-23 06:40:28,overcast clouds
46,Cienfuegos,22.1461,-80.4356,71.74,94,95,4.61,CU,2022-04-23 06:41:28,overcast clouds
47,Vaini,-21.2,-175.2,75.36,88,40,3.44,TO,2022-04-23 06:41:29,scattered clouds
48,Tiksi,71.6872,128.8694,12.0,88,100,8.28,RU,2022-04-23 06:41:29,overcast clouds
49,Pangkalanbuun,-2.6833,111.6167,87.53,63,100,2.77,ID,2022-04-23 06:41:29,overcast clouds
50,Carnarvon,-24.8667,113.6333,84.27,51,2,10.36,AU,2022-04-23 06:41:30,clear sky
51,Coffs Harbour,-30.3,153.1333,69.76,64,100,10.36,AU,2022-04-23 06:41:30,overcast clouds
52,Karwar,14.8,74.1333,89.89,65,2,9.75,IN,2022-04-23 06:41:31,clear sky
53,Prieska,-29.6641,22.7474,62.87,68,51,14.07,ZA,2022-04-23 06:41:31,light rain
54,Akdepe,42.0551,59.3788,69.89,35,62,11.03,TM,2022-04-23 06:41:31,broken clouds
55,Gamba,-2.65,10.0,79.02,84,100,3.36,GA,2022-04-23 06:41:32,overcast clouds
56,Salalah,17.0151,54.0924,86.09,70,40,9.22,OM,2022-04-23 06:41:32,scattered clouds
57,East London,-33.0153,27.9116,61.74,94,20,5.75,ZA,2022-04-23 06:41:33,light rain
58,Yar-Sale,66.8333,70.8333,7.97,87,94,9.6,RU,2022-04-23 06:41:33,overcast clouds
59,Chara,56.9064,118.2631,29.88,55,52,2.98,RU,2022-04-23 06:41:34,broken clouds
60,Gobabis,-22.45,18.9667,66.69,45,0,13.38,NA,2022-04-23 06:41:34,clear sky
61,Bambui,-20.0064,-45.9769,62.92,64,7,1.43,BR,2022-04-23 06:41:34,clear sky
62,Broome,42.2506,-75.833,41.38,72,0,4.61,US,2022-04-23 06:41:35,clear sky
63,Ramban,33.25,75.25,77.61,24,96,4.94,IN,2022-04-23 06:41:35,overcast clouds
64,Puerto Ayora,-0.7393,-90.3518,71.51,93,20,5.68,EC,2022-04-23 06:41:36,few clouds
65,Meulaboh,4.1363,96.1285,86.63,66,96,4.27,ID,2022-04-23 06:41:36,overcast clouds
66,Haapiti,-17.5667,-149.8667,78.53,74,61,9.48,PF,2022-04-23 06:41:36,moderate rain
67,Vardo,70.3705,31.1107,36.9,80,94,12.15,NO,2022-04-23 06:41:37,overcast clouds
68,Tuatapere,-46.1333,167.6833,54.19,84,100,9.1,NZ,2022-04-23 06:41:37,overcast clouds
69,Stoke-On-Trent,53.0042,-2.1854,49.37,88,15,11.01,GB,2022-04-23 06:41:38,few clouds
70,Port Elizabeth,-33.918,25.5701,59.29,100,100,3.44,ZA,2022-04-23 06:41:15,moderate rain
71,Buluang,13.3068,123.3425,87.39,62,58,3.62,PH,2022-04-23 06:41:38,broken clouds
72,Butaritari,3.0707,172.7902,82.18,78,41,14.5,KI,2022-04-23 06:41:39,scattered clouds
73,Ilulissat,69.2167,-51.1,24.82,86,75,2.3,GL,2022-04-23 06:41:39,broken clouds
74,Zhangye,38.9342,100.4517,69.87,9,100,12.33,CN,2022-04-23 06:41:39,overcast clouds
75,Lebu,-37.6167,-73.65,56.55,97,100,17.6,CL,2022-04-23 06:41:40,overcast clouds
76,Pangody,65.85,74.4859,11.19,87,99,11.01,RU,2022-04-23 06:41:40,overcast clouds
77,Hithadhoo,-0.6,73.0833,84.9,72,38,9.93,MV,2022-04-23 06:41:41,scattered clouds
78,Okhotsk,59.3833,143.3,30.07,81,92,3.69,RU,2022-04-23 06:41:41,overcast clouds
79,Nova Olimpia,-14.7972,-57.2881,72.46,83,100,3.91,BR,2022-04-23 06:41:41,overcast clouds
80,Hambantota,6.1241,81.1185,89.94,66,20,9.22,LK,2022-04-23 06:41:42,few clouds
81,Nhulunbuy,-12.2333,136.7667,86.61,74,40,13.8,AU,2022-04-23 06:41:42,scattered clouds
82,Vila Velha,-20.3297,-40.2925,73.35,86,0,2.3,BR,2022-04-23 06:37:08,clear sky
83,Waingapu,-9.6567,120.2641,86.32,64,60,12.12,ID,2022-04-23 06:41:43,broken clouds
84,Bluff,-46.6,168.3333,55.8,86,100,30.33,NZ,2022-04-23 06:37:46,overcast clouds
85,Olinda,-8.0089,-34.8553,76.73,94,40,6.91,BR,2022-04-23 06:41:43,scattered clouds
86,Qaqortoq,60.7167,-46.0333,35.49,97,100,3.94,GL,2022-04-23 06:41:44,light rain
87,Qaanaaq,77.484,-69.3632,-0.8,95,100,2.13,GL,2022-04-23 06:41:44,overcast clouds
88,Khatanga,71.9667,102.5,18.1,80,86,6.49,RU,2022-04-23 06:41:44,overcast clouds
89,Vikhorevka,56.1201,101.1636,27.99,71,100,13.29,RU,2022-04-23 06:41:45,overcast clouds
